orden_nro,estado,finalizada,entrega,cliente,cuit,fecha_emision,fecha_entrega,deposito_origen,responsable,linea,id_articulo,codigo,articulo,marca,cantidad,cant_entregada,pendiente,um,precio,monto_pendiente,notas,notas_linea
300042573,Confirmada,False,Pendiente,ALEJANDRO N35,,10/07/2026,10/07/2026,Depósito Terminado,patricia,8,PU3765NENEGM5,r1-883765/02,PUMA 3765-02 Lifestyle Sock 3P Ne/Ne/Gm 5,Puma,12.0000,0.0000,12.0000,uni,7691.8000,92301.60000000,,
300042573,Confirmada,False,Pendiente,ALEJANDRO N35,,10/07/2026,10/07/2026,Depósito Terminado,patricia,9,PU3765BLBLGM5,r1-883765/03,PUMA 3765-03 Lifestyle Sock 3P Bl/Bl/Gm 5,Puma,12.0000,0.0000,12.0000,uni,7691.8000,92301.60000000,,
300042573,Confirmada,False,Pendiente,ALEJANDRO N35,,10/07/2026,10/07/2026,Depósito Terminado,patricia,10,PU8372BLBLBL4,r10-938372-01,Puma 8372-01 New Generation Crew 3P Bl/Bl/Bl 4,Puma,12.0000,0.0000,12.0000,uni,8717.5000,104610.00000000,,
300042573,Confirmada,False,Pendiente,ALEJANDRO N35,,10/07/2026,10/07/2026,Depósito Terminado,patricia,11,PU8372NENENE4,r11-938372-02,Puma 8372-02 New Generation Crew 3P Ne/Ne/Ne 4,Puma,12.0000,0.0000,12.0000,uni,8717.5000,104610.00000000,,
300042573,Confirmada,False,Pendiente,ALEJANDRO N35,,10/07/2026,10/07/2026,Depósito Terminado,patricia,12,PU7940NENENE5,r15-907940-01,Puma 7940-01 Crew Sock Light Ne/Ne/Ne 5,Puma,12.0000,0.0000,12.0000,uni,8717.5000,104610.00000000,,
300042573,Confirmada,False,Pendiente,ALEJANDRO N35,,10/07/2026,10/07/2026,Depósito Terminado,patricia,13,PU7940BLBLBL5,r15-907940-02,Puma 7940-02 Crew Sock Light Bl/Bl/Bl 5,Puma,6.0000,0.0000,6.0000,uni,8717.5000,52305.00000000,,
300042573,Confirmada,False,Pendiente,ALEJANDRO N35,,10/07/2026,10/07/2026,Depósito Terminado,patricia,14,PU7940BLGMNE5,r15-907940-03,Puma 7940-03 Crew Sock Light Bl/Gm/Ne 5,Puma,12.0000,0.0000,12.0000,uni,8717.5000,104610.00000000,,
300042573,Confirmada,False,Pendiente,ALEJANDRO N35,,10/07/2026,10/07/2026,Depósito Terminado,patricia,15,PU8022NEGMBL6,y2-888022/02,Puma 8022-02 Sport XXL Px3 Ne/Gm/Bl 6,Puma,6.0000,0.0000,6.0000,uni,7179.0000,43074.00000000,,
300042565,Confirmada,False,Parcial,ANNEX,,03/07/2026,03/07/2026,Depósito Terminado,patricia,2,PU7944BLBL5,e3-907944-02,Puma 7944-02 Crew Heritage 2P Bl/Bl 5,Puma,750.0000,0.0000,750.0000,uni,6666.2000,4999650.00000000,,
300042560,Confirmada,False,Pendiente,Antonio Luquin (sporting),,02/07/2026,02/07/2026,Depósito Terminado,pu-noa,1,PU7953NEM45,e5-907953-01,Puma 7953-01 BWT LIFESTYLE Q Ne/M4 5,Puma,1194.0000,0.0000,1194.0000,uni,4717.5000,5632695.00000000,,"<Notas>
  <Nota>
    <CUIT />
    <Cliente>Antonio Luquin (sporting)</Cliente>
    <Direccion />
    <Telefono />
    <Expreso />
    <DireccionExpreso />
    <Notas />
  </Nota>
</Notas>"
