best_id_articulo,best_codigo,best_articulo,best_marca,best_modelos,best_colores,best_color_mode,best_talle,best_pack,best_variant_codes,status,confianza,score,razon,admin_IDArt,admin_id_manual,admin_NombreArticulo,admin_CodArtProv,admin_pack,admin_talle,admin_color_mode,admin_tipo_art_fab,candidatos_n,alt1_IDArt,alt1_nombre,alt1_score,alt2_IDArt,alt2_nombre,alt2_score,dict_version
AT2400BLBL5,AT2400,Atomik 2400 Medias Stripe x2 Bl/Bl 5,Atomik,2400,BL/BL,solid,5,2,,MATCH_ALTO,alta,124,B_model+talle+pack+color_solid+marca,1344,2400,2400 TM Atomik Media Stripe Blanco 2P,,2,5,solid,Terminado,11,1343,2400 TL Atomik Media Stripe Blanco 2P,79,1348,2400 TM Atomik Media Stripe Mix 2P,74,2026-07-10-v3
AT2400BLNE4,AT2400,Atomik 2400 Medias Stripe x2 Bl/Ne 4,Atomik,2400,BL/NE,mix,4,2,,MATCH_ALTO,alta,123,B_model+talle+pack+color_mix+marca,1347,2400,2400 TL Atomik Media Stripe Mix 2P,,2,4,mix,Terminado,11,1343,2400 TL Atomik Media Stripe Blanco 2P,86,1345,2400 TL Atomik Media Stripe Negro 2P,86,2026-07-10-v3
AT2400BLNE5,AT2400,Atomik 2400 Medias Stripe x2 Bl/Ne 5,Atomik,2400,BL/NE,mix,5,2,,MATCH_ALTO,alta,123,B_model+talle+pack+color_mix+marca,1348,2400,2400 TM Atomik Media Stripe Mix 2P,,2,5,mix,Terminado,11,1344,2400 TM Atomik Media Stripe Blanco 2P,86,1346,2400 TM Atomik Media Stripe Negro 2P,86,2026-07-10-v3
AT2400NENE4,AT2400,Atomik 2400 Medias Stripe x2 Ne/Ne 4,Atomik,2400,NE/NE,solid,4,2,,MATCH_ALTO,alta,124,B_model+talle+pack+color_solid+marca,1345,2400,2400 TL Atomik Media Stripe Negro 2P,,2,4,solid,Terminado,11,1346,2400 TM Atomik Media Stripe Negro 2P,79,1352,2400 TM Atomik Media Stripe Negro 2P,79,2026-07-10-v3
AT2400NENE5,AT2400,Atomik 2400 Medias Stripe x2 Ne/Ne 5,Atomik,2400,NE/NE,solid,5,2,,MATCH_ALTO,alta,124,B_model+talle+pack+color_solid+marca,1346,2400,2400 TM Atomik Media Stripe Negro 2P,,2,5,solid,Terminado,11,1352,2400 TM Atomik Media Stripe Negro 2P,124,1345,2400 TL Atomik Media Stripe Negro 2P,79,2026-07-10-v3
AT2401BLBL4,AT2401,Atomik 2401(Atk-Caña)Media Liso x2 Bl/Bl 4,Atomik,2401,BL/BL,solid,4,2,,MATCH_ALTO,alta,125,B_model+talle+pack+color_solid+marca,128,2401,2401 TL Atomik Media Liso Blanco 2P,,2,4,solid,Terminado,8,126,2401 TM Atomik Media Liso Blanco 2P,80,129,2401 TL Atomik Media Liso Negro 2P,70,2026-07-10-v3
AT2401BLBL5,AT2401,Atomik 2401(Atk-Caña)Media Liso x2 Bl/Bl 5,Atomik,2401,BL/BL,solid,5,2,,MATCH_ALTO,alta,125,B_model+talle+pack+color_solid+marca,126,2401,2401 TM Atomik Media Liso Blanco 2P,,2,5,solid,Terminado,8,128,2401 TL Atomik Media Liso Blanco 2P,80,127,2401 TM Atomik Media Liso Negro 2P,70,2026-07-10-v3
AT2401NENE4,AT2401,Atomik 2401(Atk-Caña)Media Liso x2 Ne/Ne 4,Atomik,2401,NE/NE,solid,4,2,,MATCH_ALTO,alta,125,B_model+talle+pack+color_solid+marca,129,2401,2401 TL Atomik Media Liso Negro 2P,,2,4,solid,Terminado,8,127,2401 TM Atomik Media Liso Negro 2P,80,128,2401 TL Atomik Media Liso Blanco 2P,70,2026-07-10-v3
AT2401NENE5,AT2401,Atomik 2401(Atk-Caña)Media Liso x2 Ne/Ne 5,Atomik,2401,NE/NE,solid,5,2,,MATCH_ALTO,alta,125,B_model+talle+pack+color_solid+marca,127,2401,2401 TM Atomik Media Liso Negro 2P,,2,5,solid,Terminado,8,129,2401 TL Atomik Media Liso Negro 2P,80,126,2401 TM Atomik Media Liso Blanco 2P,70,2026-07-10-v3
AT2402BLBLBL4,AT2402,Atomik 2402(Atk-1025)Soquete Unisex Basico x3 Bl/Bl/Bl 4,Atomik,2402|1025,BL/BL/BL,solid,4,3,,MATCH_ALTO,alta,125,B_model+talle+pack+color_solid+marca,134,2402,2402 TL Atomik Soquete Unisex Basico Blanco 3P,,3,4,solid,Terminado,19,131,2402 TM Atomik Soquete Unisex Basico Blanco 3P,80,133,2402 TL Atomik Soquete Unisex Basico Mix 3P,75,2026-07-10-v3
