best_id_articulo,admin_IDArt,admin_id_manual,score,status,best_articulo,admin_NombreArticulo,best_modelos,best_colores,best_talle,best_pack
PU8391NENE5,743,8391,126,MATCH_ALTO,Puma 8391-01 Men Classic Sock 2P Ne/Ne 5,938391 T5 Puma Men Classic Sock Negro 2P,8391,NE/NE,5,2
PU8393AOAEMN4,745,938393,132,MATCH_ALTO,Puma 8393-04 Unisex New Quarter 3P Ao/Ae/Mn 4,938393-04 T4 Puma New G Cushioned Quarter Ao/Ae/Mn 3P,8393|938393,AO/AE/MN,4,3
PU8393AOAEMN5,750,938393,132,MATCH_ALTO,Puma 8393-04 Unisex New Quarter 3P Ao/Ae/Mn 5,938393-04 T5 Puma New G Cushioned Quarter Ao/Ae/Mn 3P,8393|938393,AO/AE/MN,5,3
PU8393NENENE4,747,938393,160,MATCH_ALTO,Puma 8393-02 Unisex New Quarter 3P Ne/Ne/Ne 4,938393-02 T4 Puma New G Cushioned Quarter Negro 3P,8393|938393,NE/NE/NE,4,3
PU8393NENENE5,752,938393,160,MATCH_ALTO,Puma 8393-02 Unisex New Quarter 3P Ne/Ne/Ne 5,938393-02 T5 Puma New G Cushioned Quarter Negro 3P,8393|938393,NE/NE/NE,5,3
PU8624CRBEMA5,1253,938624,128,MATCH_ALTO,Puma 8624-27 Unisex Sneaker Plain 3P Cr/Be/Ma 5,938624-27 T5 Unisex Sneaker Plain Ma/Be/Cr 3P,8624|938624,CR/BE/MA,5,3
PU8624VECENE5,1254,938624,125,MATCH_ALTO,Puma 8624-30 Unisex Sneaker Plain 3P Ve/Ce/Ne 5,938624-30 T5 Unisex Sneaker Plain Ve/Ce/Ne 3P,8624|938624,VE/NE,5,3
PU8643LICR4,768,938643,165,MATCH_ALTO,Puma 8643-08 Heritage Toe Sneaker 2P Li/Cr 4,938643-08 T4 Puma Heritage Toe Sneaker Li/Cr 2P,8643|938643,CR,4,2
PU8643RSBE4,769,938643,126,MATCH_ALTO,Puma 8643-05 Heritage Toe Sneaker 2P Rs/Be 4,938643-05 T4 Puma Heritage Toe Sneaker Rs/Cr 2P,8643|938643,RS/BE,4,2
PU8652LIBL3,772,938652,122,MATCH_ALTO,Puma 8652-03 Kids Heart Logo Short Crew 2P Li/Bl 3,938652-03 T3 Puma Kids Heart Logo Crew Li/Bl 2P,8652|938652,BL,3,2
