tipo;codigo_movimiento;nro_comprobante;fecha_comprobante;nro_asiento;id_ejercicio;fecha_asiento;concepto;desc_concepto;n_renglones;total_debe;total_haber;balanceado;importe_comprobante;anulado
FA;35334;1200-00067844;02/10/2025;33853.0;1.0;02/10/2025;3.0;Compra;5;32776884.1300;32776884.1300;Si;32776884.13;No
FA;35353;0070-00384728;24/09/2025;33854.0;1.0;24/09/2025;3.0;Compra;6;4685899.6800;4685899.6800;Si;4685899.68;No
FA;36526;0005-00036164;09/10/2025;33855.0;1.0;09/10/2025;3.0;Compra;3;540000.0000;540000.0000;Si;540000.00;No
FA;36598;0002-00049023;01/09/2025;33857.0;1.0;01/09/2025;3.0;Compra;3;57512.5300;57512.5300;Si;57512.53;No
FA;36599;0002-00048849;01/09/2025;33858.0;1.0;01/09/2025;3.0;Compra;3;327497.2400;327497.2400;Si;327497.24;No
FA;36600;0002-00049282;27/09/2025;33859.0;1.0;27/09/2025;3.0;Compra;3;2031590.0000;2031590.0000;Si;2031590.00;No
FA;36601;0002-00049281;27/09/2025;33860.0;1.0;27/09/2025;3.0;Compra;3;947430.0000;947430.0000;Si;947430.00;No
FA;38247;0003-00001348;21/10/2025;33862.0;1.0;21/10/2025;3.0;Compra;4;324500.0000;324500.0000;Si;324500.00;No
FA;39267;0007-00012459;24/10/2025;33866.0;1.0;24/10/2025;3.0;Compra;3;2087250.0000;2087250.0000;Si;2087250.00;No
FA;39988;1200-00068659;24/10/2025;33867.0;1.0;24/10/2025;3.0;Compra;6;29757662.6400;29757662.6400;Si;29757662.64;No
FA;42145;0005-00036423;03/11/2025;33869.0;1.0;03/11/2025;3.0;Compra;3;660000.0100;660000.0100;Si;660000.01;No
FA;42232;0004-00000411;04/11/2025;33871.0;1.0;04/11/2025;3.0;Compra;3;16952878.0300;16952878.0300;Si;16952878.03;No
FA;42921;0070-00390268;28/10/2025;33872.0;1.0;28/10/2025;3.0;Compra;6;13825071.0500;13825071.0500;Si;13825071.05;No
FA;42939;0070-00390722;29/10/2025;33873.0;1.0;29/10/2025;3.0;Compra;7;12340438.8400;12340438.8400;Si;12340438.83;No
FA;42944;0070-00390275;28/10/2025;33874.0;1.0;28/10/2025;3.0;Compra;6;8883112.3200;8883112.3200;Si;8883112.32;No
FA;43484;0004-00005127;31/10/2025;33875.0;1.0;31/10/2025;3.0;Compra;3;454718.0000;454718.0000;Si;454718.00;No
FA;43488;0002-00000070;07/11/2025;33876.0;1.0;07/11/2025;3.0;Compra;3;329716.5300;329716.5300;Si;329716.53;No
FA;43489;0001-00002566;07/11/2025;33877.0;1.0;07/11/2025;3.0;Compra;3;1482250.0000;1482250.0000;Si;1482250.00;No
FA;43490;0007-00012968;07/11/2025;33878.0;1.0;07/11/2025;3.0;Compra;3;3478750.0000;3478750.0000;Si;3478750.00;No
